246,376,19,11174,47
288,374,14,144,32
415,372,15,161,33
192,46,14,47,31
362,389,15,160,34
104,363,25,94,31
462,287,35,64,32
420,96,45,5670,44
228,346,39,266,44
77,249,48,63,32
137,45,55,1598,37
91,120,52,470,37
155,416,57,39,38
58,413,58,2,32
210,419,58,4,34
427,100,74,8143,37
430,361,72,13342,37
294,304,66,748,32
505,429,61,28,39
439,112,72,80,31
363,39,79,195,32
326,224,94,2130,75
101,368,96,714,39
316,458,95,3,31
97,479,99,13,33
369,471,101,45,32
483,506,103,24,32
